Date Time RTD Vsamp
2020-02-24 16:46:08.136636 1113.19724 0.00194145
2020-02-24 16:46:08.174639 1113.19761 0.00194145
2020-02-24 16:46:08.217641 1113.19879 0.00194145
2020-02-24 16:46:08.247643 1113.19997 0.00194145
2020-02-24 16:46:08.280645 1113.19989 0.00194145
2020-02-24 16:46:08.323647 1113.20034 0.00194145
2020-02-24 16:46:08.366650 1113.20211 0.00194145
2020-02-24 16:46:08.411652 1113.20211 0.00194145
2020-02-24 16:46:08.454655 1113.20152 0.00194145
2020-02-24 16:46:08.493657 1113.20292 0.00194145
2020-02-24 16:46:08.526659 1113.20491 0.00194145
2020-02-24 16:46:08.560661 1113.20535 0.00194145
2020-02-24 16:46:08.602663 1113.20505 0.00194145
2020-02-24 16:46:08.650666 1113.2041 0.00194145
2020-02-24 16:46:08.698669 1113.2055 0.00194145
2020-02-24 16:46:08.735671 1113.20874 0.00194145
2020-02-24 16:46:08.767673 1113.2094 0.00194145
2020-02-24 16:46:08.798674 1113.21132 0.00194145
2020-02-24 16:46:08.841677 1113.21279 0.00194145
2020-02-24 16:46:08.872679 1113.21345 0.00194145
2020-02-24 16:46:08.903680 1113.21544 0.00194145
2020-02-24 16:46:08.940682 1113.21648 0.00194145
2020-02-24 16:46:08.987685 1113.21618 0.00194145
2020-02-24 16:46:09.036688 1113.21544 0.00194145
2020-02-24 16:46:09.069690 1113.21522 0.00194145
2020-02-24 16:46:09.100692 1113.21375 0.00194145
2020-02-24 16:46:09.142694 1113.21522 0.00194145
2020-02-24 16:46:09.184696 1113.21574 0.00194145
2020-02-24 16:46:09.227699 1113.21736 0.00194145
2020-02-24 16:46:09.272701 1113.2167 0.00194145
2020-02-24 16:46:09.315704 1113.22031 0.00194145
2020-02-24 16:46:09.354706 1113.21957 0.00194145
2020-02-24 16:46:09.388708 1113.22134 0.00194145
2020-02-24 16:46:09.420710 1113.22333 0.00194145
2020-02-24 16:46:09.463712 1113.22451 0.00194145
2020-02-24 16:46:09.508715 1113.22672 0.00194145
2020-02-24 16:46:09.552717 1113.22886 0.00194145
2020-02-24 16:46:09.599720 1113.22893 0.00194145
2020-02-24 16:46:09.641723 1113.23018 0.00194145
2020-02-24 16:46:09.686725 1113.22827 0.00194145
2020-02-24 16:46:09.729728 1113.22775 0.00194145
2020-02-24 16:46:09.768730 1113.229 0.00194145
2020-02-24 16:46:09.801732 1113.22886 0.00194145
2020-02-24 16:46:09.834734 1113.22812 0.00194145
2020-02-24 16:46:09.875736 1113.22915 0.00194145
2020-02-24 16:46:09.922739 1113.23136 0.00194145
2020-02-24 16:46:09.969741 1113.23556 0.00194145
2020-02-24 16:46:09.997743 1113.23608 0.00194145
2020-02-24 16:46:10.032745 1113.23718 0.00194145
2020-02-24 16:46:10.074747 1113.23814 0.00194145
2020-02-24 16:46:10.121750 1113.23903 0.00194145
2020-02-24 16:46:10.268758 1113.2422 0.00194145
2020-02-24 16:46:10.313761 1113.24455 0.00194145
2020-02-24 16:46:10.356763 1113.24647 0.00194145
2020-02-24 16:46:10.401766 1113.24861 0.00194145
2020-02-24 16:46:10.445769 1113.24949 0.00194145
2020-02-24 16:46:10.490771 1113.24861 0.00194145
2020-02-24 16:46:10.533774 1113.24824 0.00194169
2020-02-24 16:46:10.578776 1113.24912 0.00194169
2020-02-24 16:46:10.618778 1113.24942 0.00194169
2020-02-24 16:46:10.649780 1113.24927 0.00194169
2020-02-24 16:46:10.682782 1113.24942 0.00194169
2020-02-24 16:46:10.725785 1113.24861 0.00194169
2020-02-24 16:46:10.773787 1113.24816 0.00194169
2020-02-24 16:46:10.805789 1113.2489 0.00194169
2020-02-24 16:46:10.837791 1113.25045 0.00194169
2020-02-24 16:46:10.878793 1113.25097 0.00194169
2020-02-24 16:46:10.922796 1113.2517 0.00194169
2020-02-24 16:46:10.965798 1113.25332 0.00194169
2020-02-24 16:46:11.009801 1113.25708 0.00194169
2020-02-24 16:46:11.049803 1113.25657 0.00194169
2020-02-24 16:46:11.080805 1113.2573 0.00194169
2020-02-24 16:46:11.113807 1113.25738 0.00194169
2020-02-24 16:46:11.157809 1113.25848 0.00194169
2020-02-24 16:46:11.205812 1113.25996 0.00194169
2020-02-24 16:46:11.236814 1113.26025 0.00194169
2020-02-24 16:46:11.268816 1113.26136 0.00194169
2020-02-24 16:46:11.312818 1113.26165 0.00194169
2020-02-24 16:46:11.357821 1113.26467 0.00194169
2020-02-24 16:46:11.400823 1113.26548 0.00194169
2020-02-24 16:46:11.443826 1113.2657 0.00194169
2020-02-24 16:46:11.484828 1113.26585 0.00194169
2020-02-24 16:46:11.515830 1113.26755 0.00194169
2020-02-24 16:46:11.549832 1113.26806 0.00194169
2020-02-24 16:46:11.592834 1113.26821 0.00194169
2020-02-24 16:46:11.640837 1113.26909 0.00194169
2020-02-24 16:46:11.689840 1113.26998 0.00194169
2020-02-24 16:46:11.726842 1113.27057 0.00194169
2020-02-24 16:46:11.759844 1113.27064 0.00194169
2020-02-24 16:46:11.791846 1113.27035 0.00194169
2020-02-24 16:46:11.835848 1113.27116 0.00194169
2020-02-24 16:46:11.878850 1113.27101 0.00194169
2020-02-24 16:46:11.918853 1113.2716 0.00194169
2020-02-24 16:46:11.950855 1113.27145 0.00194169
2020-02-24 16:46:11.982856 1113.27293 0.00194169
2020-02-24 16:46:12.025859 1113.27455 0.00194169
2020-02-24 16:46:12.070861 1113.27691 0.00194169
2020-02-24 16:46:12.113864 1113.2772 0.00194169
2020-02-24 16:46:12.158866 1113.27779 0.00194169
2020-02-24 16:46:12.203869 1113.2786 0.00194169
2020-02-24 16:46:12.246872 1113.27809 0.00194169
2020-02-24 16:46:12.290874 1113.27971 0.00194169
2020-02-24 16:46:12.329876 1113.28044 0.00194169
2020-02-24 16:46:12.363878 1113.28118 0.00194169
2020-02-24 16:46:12.394880 1113.28155 0.00194169
2020-02-24 16:46:12.436882 1113.28059 0.00194169
2020-02-24 16:46:12.461884 1113.28244 0.00194169
2020-02-24 16:46:12.499886 1113.28465 0.00194169
2020-02-24 16:46:12.536888 1113.2859 0.00194169
2020-02-24 16:46:12.587891 1113.28524 0.00194169
2020-02-24 16:46:12.636894 1113.28539 0.00194169
