Date_Time RTD Rsamp
2020-02-26 11:36:28.853557 1109.91361 39.8559067 
2020-02-26 11:36:28.935562 1109.91796 39.8579683 
2020-02-26 11:36:29.001565 1109.92754 39.8580407 
2020-02-26 11:36:29.067569 1109.93433 39.8591445 
2020-02-26 11:36:29.131573 1109.93876 39.8572275 
2020-02-26 11:36:29.212577 1109.94736 39.8578893 
2020-02-26 11:36:29.278581 1109.95327 39.8597299 
2020-02-26 11:36:29.344585 1109.96083 39.857813 
2020-02-26 11:36:29.408589 1109.97034 39.8595799 
2020-02-26 11:36:29.495594 1109.97137 39.8600206 
2020-02-26 11:36:29.563598 1109.98302 39.8606824 
2020-02-26 11:36:29.622601 1109.99282 39.8606087 
2020-02-26 11:36:29.683604 1109.99584 39.8607561 
2020-02-26 11:36:29.767609 1110.00623 39.8608298 
2020-02-26 11:36:29.828613 1110.01677 39.8613455 
2020-02-26 11:36:29.889616 1110.02001 39.8606087 
2020-02-26 11:36:29.955620 1110.0265 39.8597983 
2020-02-26 11:36:30.038625 1110.03446 39.8617139 
2020-02-26 11:36:30.099628 1110.04331 39.8604614 
2020-02-26 11:36:30.163632 1110.04883 39.8628928 
2020-02-26 11:36:30.230636 1110.05414 39.8640716 
2020-02-26 11:36:30.312640 1110.06151 39.8638506 
2020-02-26 11:36:30.373644 1110.06895 39.8631875 
2020-02-26 11:36:30.434647 1110.07544 39.8624507 
2020-02-26 11:36:30.495651 1110.08288 39.8637769 
2020-02-26 11:36:30.577656 1110.08613 39.8657662 
2020-02-26 11:36:30.638659 1110.09586 39.8657662 
2020-02-26 11:36:30.700663 1110.10411 39.864661 
2020-02-26 11:36:30.766666 1110.10706 39.8656188 
2020-02-26 11:36:30.848671 1110.1134 39.8651768 
2020-02-26 11:36:30.909674 1110.12379 39.8648084 
2020-02-26 11:36:30.970678 1110.1302 39.8639979 
2020-02-26 11:36:31.030681 1110.13669 39.8658399 
2020-02-26 11:36:31.115686 1110.14619 39.8667977 
2020-02-26 11:36:31.176690 1110.15275 39.8677555 
2020-02-26 11:36:31.237693 1110.15681 39.8682713 
2020-02-26 11:36:31.298697 1110.16189 39.8675345 
2020-02-26 11:36:31.386702 1110.1686 39.8670187 
2020-02-26 11:36:31.447705 1110.17583 39.8675345 
2020-02-26 11:36:31.513709 1110.18525 39.8684923 
2020-02-26 11:36:31.580713 1110.19385 39.8682713 
2020-02-26 11:36:31.662718 1110.19747 39.8692291 
2020-02-26 11:36:31.723721 1110.20698 39.8701869 
2020-02-26 11:36:31.784725 1110.2131 39.8701869 
2020-02-26 11:36:31.854729 1110.21759 39.869008 
2020-02-26 11:36:31.941734 1110.22651 39.8672413 
2020-02-26 11:36:32.002737 1110.23278 39.8682744 
2020-02-26 11:36:32.069741 1110.23897 39.8698968 
2020-02-26 11:36:32.128744 1110.24884 39.8696774 
2020-02-26 11:36:32.210749 1110.25245 39.8689421 
2020-02-26 11:36:32.277753 1110.25909 39.8693121 
2020-02-26 11:36:32.334756 1110.26543 39.8702714 
2020-02-26 11:36:32.394759 1110.26661 39.8692415 
2020-02-26 11:36:32.476764 1110.27206 39.8693904 
2020-02-26 11:36:32.536768 1110.28275 39.8689499 
2020-02-26 11:36:32.604771 1110.29144 39.8688762 
2020-02-26 11:36:32.663775 1110.29859 39.8691709 
2020-02-26 11:36:32.746780 1110.30596 39.8682868 
2020-02-26 11:36:32.810783 1110.31068 39.8687289 
2020-02-26 11:36:32.875787 1110.31606 39.8688762 
2020-02-26 11:36:32.941791 1110.32115 39.8680657 
2020-02-26 11:36:33.031796 1110.32903 39.8662238 
