Date Time RTDl RTDr Vsamp
2020-07-08 12:35:33.595852 1092.31828 1092.43269 1.37689759e-06
2020-07-08 12:35:33.664856 1092.31783 1092.42981 1.06124955e-06
2020-07-08 12:35:33.744861 1092.31916 1092.42627 1.03567465e-06
2020-07-08 12:35:33.818865 1092.31923 1092.42635 1.05653838e-06
2020-07-08 12:35:33.897869 1092.31813 1092.42524 1.12114864e-06
2020-07-08 12:35:33.980874 1092.31732 1092.43146 1.17566355e-06
2020-07-08 12:35:34.083880 1092.31459 1092.43178 1.06932583e-06
2020-07-08 12:35:34.135883 1092.31695 1092.43165 1.1056691e-06
2020-07-08 12:35:34.205887 1092.31695 1092.43018 1.03634768e-06
2020-07-08 12:35:34.295892 1092.31916 1092.43055 1.04711605e-06
2020-07-08 12:35:34.371897 1092.32049 1092.43048 1.14133935e-06
2020-07-08 12:35:34.466902 1092.31997 1092.43225 1.17162541e-06
2020-07-08 12:35:34.575908 1092.31805 1092.4318 1.19652728e-06
2020-07-08 12:35:34.644912 1092.31769 1092.42959 1.13797423e-06
2020-07-08 12:35:34.714916 1092.31798 1092.43298 9.79813698e-07
2020-07-08 12:35:34.785920 1092.31813 1092.43247 9.75102533e-07
2020-07-08 12:35:34.864925 1092.31938 1092.43276 1.08076723e-06
2020-07-08 12:35:34.938929 1092.32034 1092.43188 1.04913512e-06
2020-07-08 12:35:35.025934 1092.31791 1092.4318 1.29344267e-06
2020-07-08 12:35:35.098938 1092.31864 1092.43203 1.31767152e-06
2020-07-08 12:35:35.188943 1092.31857 1092.43166 1.36343712e-06
2020-07-08 12:35:35.262947 1092.3185 1092.43173 1.13864726e-06
2020-07-08 12:35:35.336952 1092.31828 1092.43468 9.79140674e-07
2020-07-08 12:35:35.418956 1092.31791 1092.43711 8.80206212e-07
2020-07-08 12:35:35.497961 1092.31724 1092.43696 8.28383399e-07
2020-07-08 12:35:35.576965 1092.31931 1092.43483 8.67418765e-07
2020-07-08 12:35:35.679971 1092.31658 1092.43144 9.19241578e-07
2020-07-08 12:35:35.753976 1092.31518 1092.43203 9.48181591e-07
2020-07-08 12:35:35.823980 1092.31466 1092.43173 9.38086238e-07
2020-07-08 12:35:35.902984 1092.3157 1092.43409 9.69718345e-07
2020-07-08 12:35:35.974988 1092.31629 1092.43313 9.69045321e-07
2020-07-08 12:35:36.056993 1092.31783 1092.43328 9.86543933e-07
2020-07-08 12:35:36.133997 1092.31525 1092.43166 8.89628542e-07
2020-07-08 12:35:36.210002 1092.31518 1092.42945 6.72241936e-07
2020-07-08 12:35:36.282006 1092.31533 1092.42931 8.78187142e-07
2020-07-08 12:35:36.338009 1092.3168 1092.4294 9.71064392e-07
2020-07-08 12:35:36.410013 1092.31658 1092.43083 9.6837195e-07
2020-07-08 12:35:36.499018 1092.31732 1092.43395 1.26113646e-06
2020-07-08 12:35:36.572022 1092.31688 1092.43262 1.18239236e-06
2020-07-08 12:35:36.657027 1092.31658 1092.43232 1.24902131e-06
2020-07-08 12:35:36.736032 1092.31614 1092.43196 1.16085525e-06
2020-07-08 12:35:36.801035 1092.31835 1092.43181 1.1595092e-06
2020-07-08 12:35:36.887040 1092.31769 1092.43181 1.18912223e-06
2020-07-08 12:35:36.955044 1092.32041 1092.43085 1.1682585e-06
2020-07-08 12:35:37.031049 1092.321 1092.42871 1.28805667e-06
2020-07-08 12:35:37.119054 1092.31864 1092.42864 1.06865104e-06
2020-07-08 12:35:37.196058 1092.31643 1092.42864 1.11172454e-06
2020-07-08 12:35:37.267062 1092.31746 1092.43092 1.03499987e-06
2020-07-08 12:35:37.339066 1092.31518 1092.43151 1.11710873e-06
