Date_Time,RTD,Vsamp1(R1718),Vsamp2(R1516)
2020-02-27 11:18:46.285579,1139.41706,0.00198938,0.00198413
2020-02-27 11:18:46.843611,1139.60233,0.00198962,0.00198437
2020-02-27 11:18:47.412643,1139.79262,0.00198986,0.00198437
2020-02-27 11:18:47.968675,1139.9773,0.00199009,0.00198461
2020-02-27 11:18:48.540708,1140.17506,0.00199033,0.00198485
2020-02-27 11:18:49.105740,1140.35885,0.00199033,0.00198509
2020-02-27 11:18:49.677773,1140.54936,0.00199057,0.00198533
2020-02-27 11:18:50.252806,1140.72939,0.00199081,0.00198533
2020-02-27 11:18:50.811838,1140.92459,0.00199105,0.00198556
2020-02-27 11:18:51.359869,1141.09667,0.00199129,0.0019858
2020-02-27 11:18:51.914901,1141.26742,0.00199153,0.00198604
2020-02-27 11:18:52.479933,1141.44989,0.00199153,0.00198628
2020-02-27 11:18:53.046966,1141.63559,0.00199176,0.00198652
2020-02-27 11:18:53.620998,1141.81401,0.001992,0.00198652
2020-02-27 11:18:54.182030,1141.98697,0.001992,0.00198676
2020-02-27 11:18:54.738062,1142.15765,0.00199248,0.001987
2020-02-27 11:18:55.304095,1142.33136,0.00199272,0.001987
2020-02-27 11:18:55.865127,1142.50395,0.00199272,0.00198747
2020-02-27 11:18:56.417158,1142.6739,0.00199296,0.00198771
2020-02-27 11:18:56.983191,1142.84118,0.00199319,0.00198771
2020-02-27 11:18:57.543223,1143.01038,0.00199319,0.00198795
2020-02-27 11:18:58.096254,1143.16978,0.00199343,0.00198819
2020-02-27 11:18:58.659287,1143.3443,0.00199367,0.00198819
2020-02-27 11:18:59.231319,1143.50407,0.00199367,0.00198843
2020-02-27 11:18:59.785351,1143.66464,0.00199391,0.00198866
2020-02-27 11:19:00.331382,1143.82279,0.00199415,0.00198866
2020-02-27 11:19:00.879414,1143.98027,0.00199415,0.0019889
2020-02-27 11:19:01.433445,1144.12766,0.00199439,0.00198914
